,Date,Type,Operator,Fatalities,Flight type,Phase,Location,Country,Category
0,2015-02-04 00:00:00.000000,ATR 72-600 (72-212A),TransAsia Airways,43.0,Domestic Scheduled Passenger,Initial Climb,"5,3 km E of Taipei-Sung Shan Airport (TSA)",Taiwan,
1,2015-02-11 00:00:00.000000,Beechcraft 1900C,Aeropanamericano,4.0,Ferry/positioning,Initial Climb,"4,5 km W of Miami Executive Airport, FL (TMB)",United States of America,
2,2015-03-24 00:00:00.000000,Airbus A320-211,Germanwings,150.0,International Scheduled Passenger,En Route,17 km SW of Barcelonnette,France,
3,2015-04-13 00:00:00.000000,Swearingen SA226-TC Metro II,Carson Air,2.0,Cargo,En Route,"N of Vancouver, BC",Canada,
4,2015-05-09 00:00:00.000000,Airbus A400M Atlas,Airbus Industrie,4.0,Test,Approach,ca 4 km NE of Sevilla Airport (SVQ),Spain,
5,2015-06-02 00:00:00.000000,Swearingen SA226-TC Metro II,Aeronaves TSM,5.0,Test,En Route,near Querétaro Airport (QRO),Mexico,
6,2015-06-25 00:00:00.000000,de Havilland Canada DHC-3T Vazar Turbine Otter,Promech Air,9.0,Domestic Non Scheduled Passenger,En Route,"near Ella Lake, Misty Fjords National Monument, AK",United States of America,
7,2015-08-16 00:00:00.000000,ATR 42-300,Trigana Air Service,54.0,Domestic Scheduled Passenger,En Route,"16,7 km NW of Oksibil Airport (OKL)",Indonesia,
8,2015-08-20 00:00:00.000000,Let L-410MA,Dubnica Air,3.0,Parachuting,En Route,near Vršatec,Slovakia,
9,2015-08-20 00:00:00.000000,Let L-410UVP,Dubnica Air,4.0,Parachuting,En Route,near Vršatec,Slovakia,
10,2015-09-15 00:00:00.000000,de Havilland Canada DHC-3T Texas Turbine Otter,Rainbow King Lodge,3.0,Domestic Non Scheduled Passenger,Initial Climb,"E of Iliamna-East Wind Lake Seaplane Base, AK",United States of America,
11,2015-10-02 00:00:00.000000,de Havilland Canada DHC-6 Twin Otter 300,Aviastar Mandiri,10.0,Domestic Scheduled Passenger,En Route,Mount Latimojong,Indonesia,
12,2015-10-14 00:00:00.000000,Cessna 208B Grand Caravan,Microsurvey Aerogeofísica e Consultoria Cientifica,3.0,Survey/research,En Route,"3,6 km NW of Yumbillo",Colombia,
13,2015-10-31 00:00:00.000000,Airbus A321-231,Metrojet,224.0,Int'l Non Scheduled Passenger,En Route,"ca 50 km SE of Hasna, North Sinai",Egypt,
14,2015-11-04 00:00:00.000000,Antonov 12BK,Allied Services Limited,41.0,Cargo,Initial Climb,"0,8 km E of Juba Airport (JUB)",South Sudan,
15,2015-12-11 00:00:00.000000,Cessna 208B Grand Caravan,Wasaya Airways,1.0,Cargo,En Route,"28 km NE of Pickle Lake Airport, ON",Canada,
16,2016-01-08 00:00:00.000000,Canadair CRJ-200PF,West Air Sweden,2.0,Cargo,En Route,near Akkajaure,Sweden,
17,2016-02-02 00:00:00.000000,Airbus A321-111,Daallo Airlines,1.0,International Scheduled Passenger,En Route,near Mogadishu International Airport (MGQ),Somalia,
18,2016-02-24 00:00:00.000000,Viking Air DHC-6 Twin Otter 400,Tara Air,23.0,Domestic Scheduled Passenger,En Route,"Dana, Myagdi district",Nepal,
19,2016-03-09 00:00:00.000000,Antonov 26B,True Aviation,3.0,Cargo,Approach,3 km off Cox's Bazar Airport (CXB),Bangladesh,
20,2016-03-19 00:00:00.000000,Boeing 737-8KN (WL),flydubai,62.0,International Scheduled Passenger,Approach,Rostov Airport (ROV),Russia,
21,2016-04-01 00:00:00.000000,Cessna 208B Grand Caravan,TADSA,3.0,Domestic Non Scheduled Passenger,En Route,near Tayoltita,Mexico,
22,2016-05-18 00:00:00.000000,Antonov 12B,Silk Way Airlines,7.0,Ferry/positioning,Takeoff,Dwyer Airport (DWR),Afghanistan,
23,2016-05-19 00:00:00.000000,Airbus A320-232,EgyptAir,66.0,International Scheduled Passenger,En Route,ca 200 km N of Egyptian coast,Mediterranean Sea,
24,2016-07-01 00:00:00.000000,Ilyushin 76TD,Russian Ministry of Emergency Situations,10.0,Fire fighting,En Route,"9 km ESE Rybnyi Uyan, Kachug Region",Russia,
25,2016-07-20 00:00:00.000000,Cessna 208B Grand Caravan EX,Joy General Aviation,5.0,Domestic Non Scheduled Passenger,Takeoff,off Jinshan City Beach,China,
26,2016-08-31 00:00:00.000000,Cessna 208B Grand Caravan EX,Ravn Connect,3.0,Domestic Scheduled Passenger,En Route,"10 km NW of Russian Mission Airport, AK (RSH)",United States of America,
27,2016-09-30 00:00:00.000000,Cessna 208B Grand Caravan,Llanera de Aviación,4.0,Domestic Non Scheduled Passenger,Unknown,near San Antonio de Prado,Colombia,
