Mode,Indicator,Date,Week Num,Lowest,Current,Last Year
Aviation,U.S. Domestic Commercial Flights (Departures),03/01/2020,10,,25420,23879
Aviation,U.S. Domestic Commercial Flights (Departures),03/02/2020,10,,26963,25747
Aviation,U.S. Domestic Commercial Flights (Departures),03/03/2020,10,,27159,26730
Aviation,U.S. Domestic Commercial Flights (Departures),03/04/2020,10,,27628,27124
Aviation,U.S. Domestic Commercial Flights (Departures),03/05/2020,10,,28438,28138
Aviation,U.S. Domestic Commercial Flights (Departures),03/06/2020,10,,28182,27791
Aviation,U.S. Domestic Commercial Flights (Departures),03/07/2020,10,,22707,22306
Aviation,U.S. Domestic Commercial Flights (Departures),03/08/2020,11,,25727,25167
Aviation,U.S. Domestic Commercial Flights (Departures),03/09/2020,11,,27253,26867
Aviation,U.S. Domestic Commercial Flights (Departures),03/10/2020,11,,27387,27277
Aviation,U.S. Domestic Commercial Flights (Departures),03/11/2020,11,,27844,25927
Aviation,U.S. Domestic Commercial Flights (Departures),03/12/2020,11,,29042,27454
Aviation,U.S. Domestic Commercial Flights (Departures),03/13/2020,11,,28512,27852
Aviation,U.S. Domestic Commercial Flights (Departures),03/14/2020,11,,23314,22451
Aviation,U.S. Domestic Commercial Flights (Departures),03/15/2020,12,,25909,25339
Aviation,U.S. Domestic Commercial Flights (Departures),03/16/2020,12,,27207,26711
Aviation,U.S. Domestic Commercial Flights (Departures),03/17/2020,12,,26703,27227
Aviation,U.S. Domestic Commercial Flights (Departures),03/18/2020,12,,25640,27616
Aviation,U.S. Domestic Commercial Flights (Departures),03/19/2020,12,,24087,28175
Aviation,U.S. Domestic Commercial Flights (Departures),03/20/2020,12,,23196,27725
Aviation,U.S. Domestic Commercial Flights (Departures),03/21/2020,12,,18433,22415
Aviation,U.S. Domestic Commercial Flights (Departures),03/22/2020,13,,18789,25429
Aviation,U.S. Domestic Commercial Flights (Departures),03/23/2020,13,,17937,26800
Aviation,U.S. Domestic Commercial Flights (Departures),03/24/2020,13,,17948,27219
Aviation,U.S. Domestic Commercial Flights (Departures),03/25/2020,13,,16587,27560
Aviation,U.S. Domestic Commercial Flights (Departures),03/26/2020,13,,16029,28209
Aviation,U.S. Domestic Commercial Flights (Departures),03/27/2020,13,,14509,27648
Aviation,U.S. Domestic Commercial Flights (Departures),03/28/2020,13,,12377,22324
Aviation,U.S. Domestic Commercial Flights (Departures),03/29/2020,14,,13061,25349
Aviation,U.S. Domestic Commercial Flights (Departures),03/30/2020,14,,13019,26610
Aviation,U.S. Domestic Commercial Flights (Departures),03/31/2020,14,,13757,27079
Aviation,U.S. Domestic Commercial Flights (Departures),04/01/2020,14,,13147,27441
Aviation,U.S. Domestic Commercial Flights (Departures),04/02/2020,14,,12149,28239
Aviation,U.S. Domestic Commercial Flights (Departures),04/03/2020,14,,12040,27849
Aviation,U.S. Domestic Commercial Flights (Departures),04/04/2020,14,,9625,21810
Aviation,U.S. Domestic Commercial Flights (Departures),04/05/2020,15,,10045,25141
Aviation,U.S. Domestic Commercial Flights (Departures),04/06/2020,15,,10475,26780
Aviation,U.S. Domestic Commercial Flights (Departures),04/07/2020,15,,10795,27304
Aviation,U.S. Domestic Commercial Flights (Departures),04/08/2020,15,,10942,26913
Aviation,U.S. Domestic Commercial Flights (Departures),04/09/2020,15,,10956,27742
Aviation,U.S. Domestic Commercial Flights (Departures),04/10/2020,15,,10357,28013
Aviation,U.S. Domestic Commercial Flights (Departures),04/11/2020,15,,8178,21071
