,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
0,9/17/1908,Wright Flyer III,Military - U.S. Army,1.0,Demonstration,"Fort Myer, Virginia",USA,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",9
1,7/12/1912,Dirigible,Military - U.S. Navy,5.0,Test flight,"AtlantiCity, New Jersey",USA,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",11
2,8/6/1913,Curtiss seaplane,Private,1.0,,"Victoria, British Columbia, Canada",Canada,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",7
3,9/9/1913,Zeppelin L-1 (airship),Military - German Navy,14.0,,Over the North Sea,Over the North Sea,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,0
4,10/17/1913,Zeppelin L-2 (airship),Military - German Navy,30.0,,"Near Johannisthal, Germany",Germany,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",8
5,3/5/1915,Zeppelin L-8 (airship),Military - German Navy,21.0,,"Tienen, Belgium",Belgium,Crashed into trees while attempting to land after being shot down by British and French aircraft.,8
6,9/3/1915,Zeppelin L-10 (airship),Military - German Navy,19.0,,"Off Cuxhaven, Germany",Germany,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",8
7,7/28/1916,Schutte-Lanz S-L-10 (airship),Military - German Army,20.0,,"Near Jambol, Bulgeria",Bulgeria,"Crashed near the Black Sea, cause unknown.",9
8,9/24/1916,Zeppelin L-32 (airship),Military - German Navy,22.0,,"Billericay, England",England,Shot down by British aircraft crashing in flames.,8
9,10/1/1916,Zeppelin L-31 (airship),Military - German Navy,19.0,,"Potters Bar, England",England,Shot down in flames by the British 39th Home Defence Squadron.,8
10,11/21/1916,Super Zeppelin (airship),Military - German Army,27.0,,"Mainz, Germany",Germany,Crashed in a storm.,8
11,11/28/1916,Zeppelin L-34 (airship),Military - German Navy,20.0,,"Off West Hartlepool, England",England,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,8
12,3/4/1917,Airship,Military - German Army,20.0,,"Near Gent, Belgium",Belgium,Caught fire and crashed.,8
13,3/30/1917,Schutte-Lanz S-L-9 (airship),Military - German Navy,23.0,,Off Northern Germany,Off Northern Germany,Struck by lightning and crashed into the BaltiSea.,0
14,5/14/1917,Zeppelin L-22 (airship),Military - German Navy,21.0,,"Near Texel Island, North Sea",North Sea,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",10
15,6/14/1917,Zeppelin L-43 (airship),Military - German Navy,24.0,,"Off Vlieland Island, North Sea",North Sea,Shot down by British aircraft.,10
16,8/21/1917,Zeppelin L-23 (airship),Military - German Navy,18.0,,Off western Denmark,Off western Denmark,Shot down by British aircraft.,0
17,10/20/1917,Zeppelin L-44 (airship),Military - German Navy,18.0,,"Near Luneville, France",France,Shot down by French anti-aircraft fire.,7
18,4/7/1918,Zeppelin L-59 (airship),Military - German Navy,23.0,,Over the Mediterranean,Over the Mediterranean,Exploded and crashed into the sea off the southern coast of Italy.,0
19,5/10/1918,Zeppelin L-70 (airship),Military - German Navy,22.0,,"Off Helgoland Island, Germany",Germany,"Shot down by British aircraft crashing from a height of 17,000 ft.",8
20,8/11/1918,Zeppelin L-53 (airship),Military - German Navy,19.0,,"Ameland Island, North Sea",North Sea,Shot down by british aircraft.,10
21,12/16/1918,De Havilland DH-4,US Aerial Mail Service,1.0,,"Elizabeth, New Jersey",USA,,11
22,5/25/1919,De Havilland DH-4,US Aerial Mail Service,1.0,,"Cleveland, Ohio",USA,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,5
23,7/19/1919,De Havilland DH-4,US Aerial Mail Service,1.0,,"Dix Run, Pennsylvania",USA,,13
24,10/2/1919,De Havilland DH-4,Aircraft Transport and Travel,1.0,,"Newcastle, England",England,,8
25,10/14/1919,Curtiss R-4LM,US Aerial Mail Service,1.0,,"Cantonsville, Maryland",USA,,9
26,10/20/1919,De Havilland DH-4,Aircraft Transport and Travel,,,English Channel,English Channel,,0
27,10/30/1919,De Havilland DH.4,US Aerial Mail Service,1.0,,"Long Valley, New Jersey",USA,,11
28,3/10/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"New Paris, Indiana",USA,,8
29,3/30/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Newark, New Jersey",USA,,11
30,4/10/1920,Curtiss R-4LM,US Aerial Mail Service,1.0,,"Newark, New Jersey",USA,,11
31,4/11/1920,Curtiss JN-4H,US Aerial Mail Service,1.0,,"Heller Field, New Jersey",USA,,11
32,5/12/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Oskaloosa, Iowa",USA,,5
33,6/6/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Cleveland, Ohio",USA,,5
34,8/16/1920,Armstrong-Whitworth F-K-8,By Air,1.0,,"Bedford, England",England,,8
35,8/16/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"College Park, Maryland",USA,,9
36,9/1/1920,Junkers JL-6,US Aerial Mail Service,2.0,,"Morristown, New Jersey",USA,,11
37,9/15/1920,Junkers F-13,US Aerial Mail Service,2.0,,"Pemberville, Ohio",USA,,5
38,9/27/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Hillersburg, Pennsylvania",USA,,13
39,10/2/1920,Salmson 2-A-2,Latecoere Airlines,2.0,,"Off Port Vendres, France",France,,7
40,10/5/1920,Breguet 14,Latecoere Airlines,2.0,,"Valencia, Spain",Spain,Crashed while landing.,6
41,10/15/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Batavia, Illinois",USA,,9
42,11/7/1920,De Havilland DH-4,US Aerial Mail Service,1.0,,"Tie Siding, Wyoming",USA,,8
43,12/14/1920,Handley Page HP-16,Handley Page Transport,4.0,,"Cricklewood, England",England,Crashed into a tree on take off in fog.,8
44,12/24/1920,Breguet 14,Aeropostale,1.0,,"Barcelona, Spain",Spain,,6
45,2/3/1921,De Havilland DH-4,US Aerial Mail Service,1.0,,"Mendotta, Minnisota",Minnisota,,10
46,2/9/1921,Junkers F-13,US Aerial Mail Service,3.0,,"La Crosse, Wisconsin",USA,,10
47,2/15/1921,Breguet 14,Aeropostale,2.0,,Off Gibraltar,Off Gibraltar,,0
48,2/22/1921,De Havilland DH-4,US Aerial Mail Service,1.0,,"Elko, Nevada",USA,,7
49,4/6/1921,,Military - Royal Australian Air Force,1.0,,"Point Cook, Australia",Australia,,10
50,4/21/1921,De Havilland DH-4,US Aerial Mail Service,1.0,,"Mitchel Field, NY",NY,,3
51,4/29/1921,De Havilland DH-4,US Aerial Mail Service,1.0,,"Cleveland, Ohio",USA,,5
52,5/17/1921,,US Aerial Mail Service,1.0,,"Rock Springs, Wyoming",USA,,8
53,7/16/1921,De Havilland DH-4,US Aerial Mail Service,1.0,,"San Francisco, California",USA,,11
54,8/14/1921,Breguet 14,Aeropostale,2.0,,"Toulouse, France",France,,7
55,8/24/1921,Royal Airship Works ZR-2 (airship),Military - Royal Airship Works,46.0,,"River Humber, England",England,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,8
